species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Neobenedenia girellae,22,22,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,8
Neobenedenia girellae,22,22,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,23
Neobenedenia girellae,22,34,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,9
Neobenedenia girellae,22,34,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,9
Neobenedenia girellae,22,34,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,3
Zeuxapta seriolae,35,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,14
Zeuxapta seriolae,35,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,19
Zeuxapta seriolae,35,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,30
Neobenedenia girellae,22,30,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,4
Neobenedenia girellae,22,30,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,9
Neobenedenia girellae,22,30,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,12
Neobenedenia girellae,22,30,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,35
Neobenedenia girellae,40,34,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,6
Neobenedenia girellae,40,34,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,9
Neobenedenia girellae,40,34,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,8
Neobenedenia girellae,40,34,Brazenor and Hutson 2015,Original data files,Australia,onco_longe,0.25
Neobenedenia girellae,40,34,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,4
Neobenedenia girellae,22,32,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,4
Neobenedenia girellae,22,32,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,4
Neobenedenia girellae,22,32,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,4
Zeuxapta seriolae,30,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,14
Zeuxapta seriolae,30,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,18
Zeuxapta seriolae,30,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,40
Zeuxapta seriolae,45,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,7
Zeuxapta seriolae,45,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,13
Zeuxapta seriolae,45,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,42
Zeuxapta seriolae,30,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,24
Zeuxapta seriolae,30,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,29
Zeuxapta seriolae,30,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,42
Zeuxapta seriolae,30,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,4
Zeuxapta seriolae,30,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,30,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,43
Zeuxapta seriolae,45,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,4
Zeuxapta seriolae,45,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,45,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,47
Neobenedenia girellae,35,22,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,6
Neobenedenia girellae,35,22,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,7
Neobenedenia girellae,35,22,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,12
Neobenedenia girellae,35,22,Brazenor and Hutson 2015,Original data files,Australia,onco_longe,1.5416666666666667
Neobenedenia girellae,35,22,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,53
Zeuxapta seriolae,40,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,7
Zeuxapta seriolae,40,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,13
Zeuxapta seriolae,40,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,onco_longe,4.708333333333333
Zeuxapta seriolae,40,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,55
Zeuxapta seriolae,35,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,7
Zeuxapta seriolae,35,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,13
Zeuxapta seriolae,35,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,56
Zeuxapta seriolae,30,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,7
Zeuxapta seriolae,30,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,13
Zeuxapta seriolae,30,16,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,57
Neobenedenia girellae,40,24,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,4
Neobenedenia girellae,40,24,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,5
Neobenedenia girellae,40,24,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,12
Neobenedenia girellae,40,24,Brazenor and Hutson 2015,Original data files,Australia,onco_longe,1.2916666666666667
Neobenedenia girellae,40,24,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,58
Zeuxapta seriolae,35,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
Zeuxapta seriolae,35,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,35,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,6
Neobenedenia girellae,35,30,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,4
Neobenedenia girellae,35,30,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,6
Neobenedenia girellae,35,30,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,6
Neobenedenia girellae,35,30,Brazenor and Hutson 2015,Original data files,Australia,onco_longe,0.3333333333333333
Neobenedenia girellae,35,30,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,65
Zeuxapta seriolae,35,19,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
Zeuxapta seriolae,35,19,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,10
Zeuxapta seriolae,35,19,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,68
Zeuxapta seriolae,45,22,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,5
Zeuxapta seriolae,45,22,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,45,22,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,68
Neobenedenia girellae,40,22,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,7
Neobenedenia girellae,40,22,Brazenor and Hutson 2015,Original data files,Australia,time_last_hatch,8
Neobenedenia girellae,40,22,Brazenor and Hutson 2015,Original data files,Australia,time_maturity,9
Neobenedenia girellae,40,22,Brazenor and Hutson 2015,Original data files,Australia,onco_longe,2.0416666666666665
Neobenedenia girellae,40,22,Brazenor and Hutson 2015,Original data files,Australia,hatch_success,69
Zeuxapta seriolae,30,19,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
